time,pressure,absolute_salinity,calculated_sal
2023-12-15 16:49:58.397,44.5491902218908,30.3567020476199,30.096130463587
2023-12-15 16:50:08.397,45.4450053890278,30.3569155843291,30.0910839458382
2023-12-15 16:50:18.396,46.4616046236439,30.3611396440596,30.0893414592132
2023-12-15 16:50:28.398,47.3876158076507,30.3623711902545,30.0851367357955
2023-12-15 16:50:38.396,48.2331042800047,30.3623940410064,30.0801953462445
2023-12-15 16:50:48.397,49.2295728367076,30.3595340893504,30.0714817278804
2023-12-15 16:50:58.397,50.1555840207144,30.3614715701444,30.0679829737223
2023-12-15 16:51:08.397,51.0614645268079,30.3627426384953,30.0639288486774
2023-12-15 16:51:18.397,52.0478677445543,30.3641908580524,30.0595761406023
2023-12-15 16:51:28.398,53.1147936739534,30.3645351240873,30.053645712591
2023-12-15 16:51:38.398,54.1011968916997,30.3644621468632,30.047771155838
